SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
358,Lacistema aggregatum,NA,Lacistema,2,Lacistema aggregatum,(P.J.Bergius) Rusby,Lacistema,2,kew-2348725,1,FALSE,0.8,0,NA,NA,NA,NA,Lacistemataceae,NA,Lacistema aggregatum,
147,Laetia procera,NA,Laetia,2,Laetia procera,(Poepp.) Eichler,Laetia,2,tro-13200215,1,FALSE,0.8,0,NA,NA,NA,NA,Salicaceae,NA,Laetia procera,
359,Lecointea amazonica,NA,Lecointea,2,Lecointea amazonica,Ducke,Lecointea,2,ild-24326,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Lecointea amazonica,
573,Lecomtedoxa klaineana,NA,Lecomtedoxa,2,Lecomtedoxa klaineana,(Pierre ex Engl.) Pierre ex Dubard,Lecomtedoxa,2,kew-109192,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Lecomtedoxa klaineana,
240,Lecythis ampla,NA,Lecythis,2,Lecythis ampla,Miers,Lecythis,2,kew-313009,1,FALSE,0.8,0,NA,NA,NA,NA,Lecythidaceae,NA,Lecythis ampla,
148,Lecythis corrugata,NA,Lecythis,2,Lecythis corrugata,Poit.,Lecythis,2,kew-313017,1,FALSE,0.8,0,NA,NA,NA,NA,Lecythidaceae,NA,Lecythis corrugata,
241,Lecythis mesophylla,NA,Lecythis,2,Lecythis mesophylla,S.A.Mori,Lecythis,2,kew-313040,1,FALSE,0.8,0,NA,NA,NA,NA,Lecythidaceae,NA,Lecythis mesophylla,
291,Lithocarpus amygdalifolius,NA,Lithocarpus,2,Lithocarpus amygdalifolius,(Skan) Hayata,Lithocarpus,2,kew-114283,1,FALSE,0.8,0,NA,NA,NA,NA,Fagaceae,NA,Lithocarpus amygdalifolius,
292,Lithocarpus handelianus,NA,Lithocarpus,2,Lithocarpus handelianus,A.Camus,Lithocarpus,2,kew-114511,1,FALSE,0.8,0,NA,NA,NA,NA,Fagaceae,NA,Lithocarpus handelianus,
242,Lithocarpus shinsuiensis,NA,Lithocarpus,2,Lithocarpus shinsuiensis,Hayata & Kaneh.,Lithocarpus,2,kew-114771,1,FALSE,0.8,0,NA,NA,NA,NA,Fagaceae,NA,Lithocarpus shinsuiensis,
851,Litsea castanea,NA,Litsea,2,Litsea castanea,Hook.f.,Litsea,2,kew-2351658,1,FALSE,0.8,0,NA,NA,NA,NA,Lauraceae,NA,Litsea castanea,
761,Litsea firma,NA,Litsea,2,Litsea firma,(Blume) Hook.f.,Litsea,2,kew-2351726,1,FALSE,0.8,0,NA,NA,NA,NA,Lauraceae,NA,Litsea firma,
293,Litsea litsenefolia,NA,Litsea,2,Litsea litseifolia,(C.K. Allen) Yen C. Yang & P.H. Huang,Litsea,2,tro-17805823,1,TRUE,0.7,2,NA,NA,NA,NA,Lauraceae,NA,Litsea litseifolia,
416,Lophopetalum wightianum,NA,Lophopetalum,2,Lophopetalum wightianum,Arn.,Lophopetalum,2,kew-2338957,1,FALSE,0.8,0,NA,NA,NA,NA,Celastraceae,NA,Lophopetalum wightianum,
520,Lovoa trichiliodes,NA,Lovoa,2,Lovoa trichilioides,Harms,Lovoa,2,kew-2494617,1,TRUE,0.75,1,NA,NA,NA,NA,Meliaceae,NA,Lovoa trichilioides,
461,Luehea seemannii,NA,Luehea,2,Luehea seemannii,Triana & Planch,Luehea,2,kew-2496835,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Luehea seemannii,
775,Machaerium acaciifolium,NA,Machaerium,2,Machaerium acaciifolium,Mart. ex Benth.,Machaerium,2,kew-2365703,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Machaerium acaciifolium,
774,Machaerium arboreum,NA,Machaerium,2,Machaerium arboreum,(Jacq.) Benth.,Machaerium,2,tro-13044200,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Machaerium arboreum,Multiple results
294,Machilus manticola,NA,Machilus,2,Machilus monticola,S.K. Lee,Machilus,2,tro-17805523,1,TRUE,0.75,1,NA,NA,NA,NA,Lauraceae,NA,Machilus monticola,
60,Maclurodendron porteri,NA,Maclurodendron,2,Maclurodendron porteri,(Hook. f.) T.G. Hartley,Maclurodendron,2,tro-100363284,1,FALSE,0.8,0,NA,NA,NA,NA,Rutaceae,NA,Maclurodendron porteri,
724,Macrolobium acaciifolium,NA,Macrolobium,2,Macrolobium acaciifolium,(Benth.) Benth.,Macrolobium,2,ild-15668,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Macrolobium acaciifolium,
787,Mallotus nudiflorus,NA,Mallotus,2,Mallotus nudiflorus,(L.) Kulju & Welzen,Mallotus,2,kew-347304,1,FALSE,0.8,0,NA,NA,NA,NA,Euphorbiaceae,NA,Mallotus nudiflorus,
550,Mammea africana,NA,Mammea,2,Mammea africana,Sabine,Mammea,2,kew-2369968,1,FALSE,0.8,0,NA,NA,NA,NA,Calophyllaceae,NA,Mammea africana,
611,Mangifera altissima,NA,Mangifera,2,Mangifera altissima,Blanco,Mangifera,2,kew-2364959,1,FALSE,0.8,0,NA,NA,NA,NA,Anacardiaceae,NA,Mangifera altissima,
295,Manglietia hainanensis,NA,Manglietia,2,Manglietia hainanensis,Dandy,Manglietia,2,kew-119655,1,FALSE,0.8,0,NA,NA,NA,NA,Magnoliaceae,NA,Manglietia hainanensis,
150,Manilkara bidentata,NA,Manilkara,2,Manilkara bidentata,(A.DC.) A.Chev.,Manilkara,2,kew-120114,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Manilkara bidentata,
